"operator","enbId_rncId","cellId","frequency","trueServingCoverageArea_latitude","trueServingCoverageArea_longitude","normalizedServingCoverageArea_latitude","normalizedServingCoverageArea_longitude","fullActivityCoverage_latitude","fullActivityCoverage_longitude","bts_latitude","bts_longitude","altitude_altitude","Neighbor_Cell_0_latitude","Neighbor_Cell_0_longitude","Neighbor_Cell_1_latitude","Neighbor_Cell_1_longitude","Neighbor_Cell_2_latitude","Neighbor_Cell_2_longitude","ID"
"MegaCom Ltd",30961,13,"6400",52.3881263733,4.90344238281,52.3881263733,4.90344238281,52.3890342712,4.90604019165,"NULL","NULL","47","52.3836555481","4.90375995636","52.3852996826","4.90050315857","52.3863525391","4.90095710754",26
"MegaCom Ltd",40181,13,"6400",52.3424987793,4.87100076675,52.3424987793,4.87100076675,52.3418159485,4.87272453308,"NULL","NULL","63","52.3416595459","4.87168455124","52.3411903381","4.87144041061","52.3419189453","4.87291002274",27
"MegaCom Ltd",6681,33,"1300",52.3137512207,4.94046878815,52.3137512207,4.94046878815,52.3140830994,4.94095230103,"NULL","NULL","91","52.3152160645","4.94137191772","52.3146209717","4.94122076035","NULL","NULL",28
"MegaCom Ltd",17851,11,"6400",52.4150009155,4.88623046875,52.4150009155,4.88623046875,52.4152297974,4.88428211212,"52.4131240845","4.88009786606","43","52.4221954346","4.91893053055","52.4274559021","4.97482442856","52.413684845","4.88417959213",29
"MegaCom Ltd",39891,11,"6400",52.3418731689,4.86807107925,52.3418731689,4.86807107925,52.3420906067,4.86782217026,"52.3424987793","4.86807107925","NULL","52.3418960571","4.86807632446","52.34217453","4.8679394722","52.3420791626","4.86785173416",30
"MegaCom Ltd",16751,13,"6400",52.3462486267,4.82649421692,52.3462486267,4.82649421692,52.3414878845,4.82989263535,"52.3424987793","4.83159685135","55","52.3412094116","4.83062505722","52.3417129517","4.82981920242","52.3411140442","4.83464860916",31
"MegaCom Ltd",63381,13,"6400",52.3450012207,4.80478525162,52.3450012207,4.80478525162,52.345035553,4.80433082581,"52.3393745422","4.80787086487","46","52.3405075073","4.80689954758","52.3408699036","4.80620098114","52.3451499939","4.80397462845",32
"MegaCom Ltd",16981,13,"6400",52.3187484741,4.96670389175,52.3187484741,4.96670389175,52.3170051575,4.96823263168,"NULL","NULL","51","52.3167610168","4.96811056137","52.3152694702","4.96712398529","52.3206100464","4.96424818039",33
"MegaCom Ltd",35451,12,"6400",52.3687515259,4.87452125549,52.3687515259,4.87452125549,52.3711853027,4.87440443039,"NULL","NULL","52","52.3723526001","4.87614250183","52.3717155457","4.87221670151","52.3705596924","4.86892557144",34
"MegaCom Ltd",55491,31,"1300",52.3149986267,4.94146490097,52.3149986267,4.94146490097,52.3148384094,4.94161128998,"NULL","NULL","82","NULL","NULL","NULL","NULL","NULL","NULL",35
